name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,sugar_1,Sugar_2,Blood_1,Blood_2
AAEL015136-RA-E1,199.8,27,372.5,0.072,-3.8,6.5,6.40483518792148e-44,0,0,0,21,33,422,323
AAEL014600-RA-E1,83.8,6.5,161,0.042,-4.6,5.2,6.42956693343771e-44,0,0,0,4,9,151,171
AAEL018102-RB-E2,149.2,282,16.5,17.128,4.1,6.1,1.05969927741567e-43,0,0,0,319,245,13,20
AAEL025807-RA-E1,210,377,43,8.718,3.1,6.6,2.21154493284707e-43,0,0,0,399,355,43,43
AAEL013320-RA-E2,342,73.5,610.5,0.121,-3,7.3,2.48293647378775e-43,0,0,0,75,72,541,680
AAEL023559-RA-E5,216.8,50,383.5,0.13,-2.9,6.6,3.58762779651706e-43,0,0,0,51,49,370,397
AAEL008876-RA-E3,52.8,0.5,105,0.006,-7.3,4.6,1.80879796727114e-42,0,0,0,1,0,97,113
AAEL006823-RA-E2,186.5,40.5,332.5,0.122,-3,6.4,2.15676361053114e-42,0,0,0,41,40,345,320
AAEL019618-RA-E7,221.8,392.5,51,7.692,2.9,6.7,3.17004568297431e-42,0,0,0,383,402,54,48
AAEL001864-RA-E2,230.8,408,53.5,7.638,2.9,6.7,3.55668247124816e-42,0,0,0,393,423,57,50
AAEL005429-RA-E5,178,36.5,319.5,0.114,-3.1,6.3,6.45049840291797e-42,0,0,0,36,37,339,300
AAEL022570-RA-E1,453.8,779.5,128,6.083,2.6,7.7,8.2872068413712e-42,0,0,0,737,822,123,133
AAEL006381-RA-E2,114,17,211,0.081,-3.6,5.7,1.03739436274288e-41,0,0,0,13,21,207,215
AAEL021930-RA-E2,110.8,208,13.5,15.249,3.9,5.7,1.04484413314367e-41,0,0,0,202,214,9,18
AAEL001082-RA-E4,1499.8,2710.5,289,9.37,3.2,9.4,1.26242784670079e-41,0,0,0,2753,2668,225,353
AAEL013637-RA-E2,124.2,19.5,229,0.086,-3.5,5.8,1.7488656992871e-41,0,0,0,23,16,242,216
